"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";
"C3";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C4";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"22pF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J$1";"SMA_EDGE";"SMA_EDGE";"SMA-EDGE";"SMA Antenna Connector";"";"";
"JP1";"UART";"M04PTH";"1X04";"Header 4";"";"";
"JP2";"Battery";"M02-JST-2MM-SMT";"S2B-PH";"Header 2";"";"";
"JP3";"General";"M05PTH";"1X05";"Header 5";"";"";
"JP4";"Low Power Mode";"JUMPER-2SMD-NC";"SJ_2S";"Jumper";"";"";
"JP5";"VBAT Select";"JUMPER-2SMD-NC";"SJ_2S";"Jumper";"";"";
"LED3";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"R1";"33k";"33KOHM1/10W1%(0603)";"0603-RES";"RES-08416";"";"";
"R2";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R6";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"U$1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"U1";"VENUS634SMD";"VENUS634SMD";"LGA44";"Venus634 from SkyTraq";"";"";
"U2";"33nH";"33NH";"0603-RES";"";"NDUC-07874";"";
"U3";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";
"U4";"SPI_FLASH-X25XXSMD1";"SPI_FLASH-X25XXSMD1";"SO08-EIAJ";"8pin SPI Flash series x25xx. Works with devices like W25X32 and BR25L32";"";"";
